Rk,Player,Pos,90s,xG,xAG,Cmp%,KP,SoT%,Succ%,Tkl%,Tkl+Int,Def 3rd,Clr,CrsPA
1,Brenden Aaronson,MFFW,17.4,0.14,0.18,74.8,1.78,19.2,32.3,34.6,1.67,0.46,0.29,0.11
2,Che Adams,FW,16.4,0.28,0.15,66.5,1.28,37.1,43.5,77.8,1.10,0.37,1.04,0.12
3,Tyler Adams,MF,17.0,0.00,0.07,82.9,1.24,0.0,14.3,70.2,5.53,2.12,1.18,0.00
4,Tosin Adarabioyo,DF,12.2,0.01,0.00,80.1,0.08,50.0,66.7,66.7,2.13,0.82,5.33,0.00
5,Nayef Aguerd,DF,3.8,0.12,0.01,77.6,0.26,0.0,100.0,85.7,2.63,1.32,4.47,0.00
6,Rayan Aït Nouri,DF,8.7,0.08,0.11,82.3,0.80,50.0,45.7,72.7,3.56,2.30,1.95,0.57
7,Kristoffer Ajer,DF,7.5,0.00,0.00,75.1,0.13,0.0,0.0,57.1,2.27,0.53,2.53,0.13
8,Manuel Akanji,DF,13.3,0.04,0.01,93.9,0.23,11.1,75.0,77.8,2.11,0.53,1.20,0.00
9,Nathan Aké,DF,11.8,0.02,0.02,91.9,0.42,0.0,66.7,70.0,2.29,0.68,1.53,0.00
10,Marc Albrighton,FWMF,2.6,0.13,0.34,60.4,2.31,50.0,100.0,14.3,1.92,0.00,1.92,0.77
11,Thiago Alcántara,MF,11.9,0.04,0.08,85.8,1.18,11.1,62.5,75.0,4.79,1.51,1.01,0.00
12,Carlos Alcaraz,MF,0.3,0.00,0.08,25.0,3.33,,,,0.00,0.00,3.33,0.00
13,Trent Alexander-Arnold,DF,15.0,0.09,0.25,72.8,2.20,16.7,70.0,53.6,2.87,1.00,1.20,1.13
14,Alisson,GK,19.0,0.00,0.02,85.1,0.05,,,,0.00,0.00,0.63,0.00
15,Dele Alli,MF,0.4,0.00,0.00,80.0,0.00,,0.0,,0.00,0.00,0.00,0.00
16,Miguel Almirón,FW,18.4,0.29,0.08,81.9,0.92,30.4,34.5,71.4,2.34,0.65,0.43,0.11
17,Julián Álvarez,FWMF,5.4,0.36,0.08,80.4,0.93,50.0,60.0,14.3,1.48,0.00,0.19,0.19
18,Daniel Amartey,DF,15.2,0.00,0.04,91.5,0.33,66.7,25.0,83.3,1.64,0.72,3.82,0.00
19,Joachim Andersen,DF,16.4,0.07,0.02,79.8,0.24,45.5,50.0,57.9,2.44,1.04,6.95,0.00
20,Elliot Anderson,FWMF,1.2,0.41,0.44,70.6,2.50,25.0,15.4,50.0,5.83,3.33,0.00,0.00
21,Jaidon Anthony,MFFW,7.1,0.19,0.06,71.1,0.85,71.4,26.3,40.0,3.24,1.27,1.27,0.56
22,Michail Antonio,FW,10.1,0.24,0.10,51.7,0.99,33.3,37.0,50.0,1.09,0.10,0.30,0.10
23,Antony,FW,9.2,0.29,0.05,75.7,0.87,41.9,36.0,38.5,1.85,0.65,0.33,0.00
24,Cameron Archer,FWMF,0.5,0.00,0.00,66.7,0.00,,100.0,,0.00,0.00,0.00,0.00
25,Alphonse Areola,GK,1.2,0.00,0.00,69.0,0.00,,,,0.00,0.00,0.00,0.00
26,Joe Aribo,MFFW,12.0,0.12,0.07,73.1,0.75,61.5,42.1,57.9,3.08,1.08,0.83,0.00
27,Adam Armstrong,FW,11.3,0.13,0.06,73.1,0.88,44.4,26.7,0.0,1.15,0.27,0.44,0.18
28,Stuart Armstrong,MFFW,8.5,0.13,0.20,79.5,1.41,23.1,45.0,17.6,2.00,0.71,0.71,0.59
29,Kepa Arrizabalaga,GK,11.5,0.00,0.00,83.6,0.00,,,66.7,0.17,0.17,0.70,0.00
30,Pierre-Emerick Aubameyang,FW,4.8,0.15,0.07,70.9,0.63,50.0,60.0,0.0,0.63,0.21,0.83,0.21
31,Ludwig Augustinsson,DF,0.9,0.10,0.00,60.5,0.00,50.0,0.0,,1.11,1.11,1.11,0.00
32,Serge Aurier,DF,10.5,0.05,0.07,68.7,0.76,20.0,35.7,85.7,4.57,2.29,4.19,0.48
33,Taiwo Awoniyi,FW,8.1,0.56,0.12,72.6,0.99,42.1,20.0,83.3,1.36,0.00,1.23,0.00
34,Jordan Ayew,FWMF,14.8,0.09,0.08,76.5,1.01,46.2,37.3,43.5,3.18,1.15,1.28,0.20
35,Luke Ayling,DF,5.8,0.03,0.14,71.5,0.69,0.0,40.0,42.9,4.14,1.72,2.24,0.69
36,César Azpilicueta,DF,11.0,0.02,0.07,80.5,0.82,20.0,62.5,77.8,3.45,1.36,3.64,0.27
37,Benoît Badiashile,DF,2.0,0.16,0.18,92.0,0.50,100.0,0.0,100.0,3.50,1.50,6.50,0.00
38,Leon Bailey,FWMF,13.7,0.28,0.16,62.6,1.17,32.3,37.5,30.0,1.02,0.29,0.44,0.66
39,Stefan Bajcetic,MF,1.3,0.44,0.18,77.2,1.54,50.0,50.0,33.3,3.08,0.00,1.54,0.77
40,Patrick Bamford,FW,5.2,0.89,0.06,73.6,0.77,50.0,25.0,12.5,0.58,0.00,0.96,0.00
41,Shandon Baptiste,MF,4.8,0.04,0.15,82.8,1.25,50.0,40.0,50.0,2.50,0.63,1.46,0.42
42,Harvey Barnes,MFFW,16.8,0.32,0.04,71.0,0.48,46.5,21.6,42.1,1.07,0.42,0.30,0.06
43,Gavin Bazunu,GK,20.0,0.00,0.00,61.2,0.05,,,100.0,0.10,0.05,0.95,0.00
44,Mads Bech Sørensen,DFMF,0.2,0.00,0.00,63.6,0.00,,,,5.00,0.00,5.00,0.00
45,Jan Bednarek,DF,1.8,0.03,0.04,85.7,1.11,0.0,,,2.78,0.56,3.33,0.00
46,Jan Bednarek,DF,1.1,0.00,0.00,90.9,0.00,,,100.0,4.55,0.00,4.55,0.00
47,Donny van de Beek,MF,1.9,0.05,0.06,75.4,1.58,0.0,50.0,0.0,0.53,0.00,0.53,0.00
48,Asmir Begović,GK,1.0,0.00,0.00,70.0,0.00,,,,0.00,0.00,1.00,0.00
49,Armel Bella Kotchap,DF,11.4,0.06,0.02,75.4,0.26,10.0,33.3,88.9,4.04,1.49,5.18,0.00
50,Saïd Benrahma,FWMF,11.7,0.30,0.13,81.1,2.05,32.4,37.7,40.0,1.45,0.60,0.77,0.43
51,Rodrigo Bentancur,MF,15.0,0.09,0.05,84.3,0.67,58.3,62.1,60.9,3.87,0.87,1.27,0.27
52,Owen Bevan,DF,0.1,0.00,0.00,66.7,0.00,,,,0.00,0.00,0.00,0.00
53,Giulian Biancone,DF,0.2,0.00,0.00,71.4,0.00,,,100.0,15.0,10.0,0.00,0.00
54,Philip Billing,MFFW,15.6,0.10,0.10,74.1,0.83,50.0,45.5,50.0,3.08,0.90,1.86,0.13
55,Yves Bissouma,MF,9.0,0.02,0.06,90.0,0.89,0.0,71.4,33.3,2.33,0.33,0.78,0.11
56,Willy Boly,DF,5.5,0.00,0.04,77.5,0.18,0.0,,60.0,3.82,0.91,5.09,0.00
57,Sven Botman,DF,16.7,0.05,0.05,85.6,0.36,33.3,,78.6,1.92,0.96,3.53,0.00
58,Jarrod Bowen,FWMF,19.9,0.31,0.15,64.8,1.36,23.3,20.4,42.3,2.16,0.45,0.65,0.30
59,Armando Broja,FW,3.3,0.26,0.02,62.3,0.30,83.3,46.2,100.0,1.52,0.00,0.30,0.00
60,Lewis Brunt,DF,0.3,0.00,0.00,81.0,0.00,,,,0.00,0.00,6.67,0.00
61,Bryan,MFFW,1.6,0.06,0.11,78.3,1.25,50.0,40.0,0.0,2.50,1.88,0.63,0.00
62,Emi Buendía,MFFW,12.6,0.26,0.15,77.6,1.43,20.0,37.5,39.3,3.57,1.11,0.71,0.00
63,Hugo Bueno,DF,9.1,0.02,0.06,80.4,1.10,25.0,30.0,59.1,3.52,2.31,2.97,0.44
64,Dan Burn,DF,18.6,0.05,0.01,79.8,0.27,27.3,30.0,50.0,2.26,0.65,3.87,0.05
65,Cafú,MF,0.1,0.00,0.00,100.0,0.00,,,,0.00,0.00,10.0,0.00
66,Moisés Caicedo,MF,17.8,0.05,0.07,87.9,1.12,30.8,37.5,73.3,4.38,0.90,0.96,0.22
67,Tom Cairney,MF,5.2,0.12,0.24,85.7,1.92,0.0,45.5,100.0,2.69,0.38,0.38,0.77
68,Duje Ćaleta-Car,DF,8.0,0.04,0.00,84.8,0.13,33.3,,83.3,3.00,0.88,5.25,0.00
69,Dominic Calvert-Lewin,FW,7.4,0.27,0.04,60.7,0.54,25.0,50.0,0.0,0.41,0.14,0.68,0.00
70,Chem Campbell,FWMF,0.8,0.12,0.00,71.9,0.00,0.0,50.0,0.0,3.75,1.25,0.00,0.00
71,João Cancelo,DF,14.2,0.06,0.06,84.9,0.85,17.6,48.3,70.8,3.38,1.13,0.63,0.63
72,Thomas Cannon,FW,0.3,0.32,1.95,80.0,3.33,100.0,0.0,,0.00,0.00,0.00,0.00
73,Sergi Canós,FWDF,0.9,0.09,0.03,53.5,1.11,0.0,50.0,0.0,0.00,0.00,1.11,0.00
74,Diego Carlos,DF,2.0,0.18,0.00,78.9,0.00,0.0,,0.0,1.00,0.00,1.00,0.00
75,Fabio Carvalho,MFFW,3.7,0.30,0.03,82.2,0.27,36.4,40.0,50.0,3.51,0.81,0.00,0.00
76,Casemiro,MF,12.9,0.16,0.15,77.7,1.24,29.4,40.0,64.4,5.81,2.09,2.87,0.23
77,Matty Cash,DF,12.8,0.02,0.05,76.0,0.55,14.3,50.0,70.0,3.91,1.56,1.64,0.55
78,Timothy Castagne,DF,18.2,0.09,0.07,79.7,0.66,30.0,30.8,57.6,3.46,1.59,2.64,0.44
79,Jonny Castro,DF,11.2,0.02,0.04,84.6,0.27,12.5,44.4,51.9,3.57,1.61,1.88,0.18
80,Julio César Enciso,FWMF,1.3,0.37,0.05,69.2,0.77,85.7,25.0,,0.77,0.00,0.00,0.00
81,Nathaniel Chalobah,MF,0.1,0.71,0.00,80.0,0.00,100.0,,100.0,10.0,10.0,20.0,0.00
82,Trevoh Chalobah,DF,10.8,0.04,0.01,88.8,0.09,20.0,33.3,62.5,2.69,1.02,3.15,0.00
83,Calum Chambers,DFMF,1.2,0.03,0.00,83.1,0.00,0.0,,50.0,4.17,1.67,0.83,0.00
84,Ben Chilwell,DFMF,4.7,0.07,0.03,77.5,0.21,33.3,20.0,58.3,2.55,0.85,1.70,0.21
85,Ryan Christie,MFFW,11.2,0.14,0.07,81.4,1.07,29.4,39.0,36.0,3.39,0.45,1.07,0.09
86,Carney Chukwuemeka,MFFW,2.2,0.13,0.05,81.7,1.36,25.0,16.7,66.7,5.45,2.27,0.45,0.91
87,Bobby Clark,MF,0.1,0.00,0.00,100.0,0.00,,0.0,,0.00,0.00,0.00,0.00
88,Nathaniel Clyne,DF,11.4,0.00,0.04,78.8,0.44,,42.9,76.9,2.54,0.70,2.28,0.18
89,Conor Coady,DF,17.9,0.03,0.02,85.2,0.22,66.7,0.0,83.3,1.23,0.34,4.19,0.06
90,Jack Colback,MF,2.6,0.00,0.07,82.1,0.77,,,66.7,4.23,2.31,1.92,0.38
91,Séamus Coleman,DF,8.5,0.02,0.03,81.7,0.12,0.0,33.3,66.7,2.94,0.82,3.06,0.47
92,Nathan Collins,DF,16.4,0.00,0.00,88.8,0.12,0.0,85.7,60.0,2.50,0.98,4.33,0.00
93,Levi Colwill,DF,5.1,0.03,0.03,89.4,0.39,0.0,,0.0,1.37,0.00,2.75,0.00
94,Lewis Cook,MF,16.5,0.01,0.13,78.8,1.27,0.0,37.5,53.1,3.21,0.55,1.39,0.48
95,Steve Cook,DF,10.6,0.01,0.05,80.4,0.28,0.0,100.0,83.3,1.89,0.38,4.81,0.09
96,Liam Cooper,DF,11.3,0.09,0.05,77.8,0.35,22.2,0.0,66.7,4.42,1.77,3.54,0.00
97,Maxwel Cornet,FW,1.0,0.53,0.00,66.7,0.00,25.0,,100.0,4.00,3.00,0.00,0.00
98,Diego Costa,FW,6.8,0.30,0.04,74.1,0.59,35.0,66.7,100.0,0.59,0.29,0.74,0.00
99,Vladimír Coufal,DF,12.4,0.02,0.09,63.8,1.05,0.0,0.0,72.7,3.71,1.37,2.42,0.65
100,Philippe Coutinho,MFFW,7.4,0.14,0.04,74.8,0.81,35.3,46.2,55.6,2.16,0.81,0.14,0.27
101,Conor Coventry,MFFW,0.0,0.00,0.00,,0,,,,0,0,0,0
102,Aaron Cresswell,DF,17.0,0.02,0.15,79.6,1.76,14.3,33.3,37.5,2.00,0.47,2.35,0.76
103,Marc Cucurella,DF,13.3,0.03,0.03,83.4,0.53,0.0,41.7,55.3,3.83,1.88,2.63,0.45
104,Matheus Cunha,FW,1.5,0.18,0.18,72.7,1.33,0.0,25.0,100.0,1.33,0.00,2.00,0.00
105,Patson Daka,FW,7.8,0.31,0.30,66.2,1.28,57.9,44.4,25.0,1.41,0.38,0.77,0.13
106,Diogo Dalot,DF,13.2,0.06,0.10,76.8,1.59,33.3,45.0,65.2,3.64,1.74,2.12,0.83
107,Mikkel Damsgaard,MFFW,3.1,0.16,0.12,70.4,1.29,75.0,42.9,33.3,3.55,1.94,1.61,0.00
108,Danilo,MF,0.5,0.05,0.05,91.3,2.00,0.0,100.0,50.0,8.00,6.00,6.00,0.00
109,Josh Dasilva,MF,10.2,0.09,0.12,78.7,0.69,38.5,55.2,62.5,1.57,0.49,0.39,0.20
110,Ben Davies,DF,14.0,0.05,0.13,84.8,0.93,50.0,14.3,53.3,1.79,0.50,2.71,0.14
111,Tom Davies,MF,4.6,0.12,0.03,76.0,0.22,16.7,0.0,66.7,2.83,0.87,1.30,0.00
112,Craig Dawson,DF,8.0,0.06,0.01,79.0,0.13,16.7,0.0,66.7,2.00,1.00,3.25,0.00
113,Kevin De Bruyne,MF,17.4,0.19,0.51,72.1,3.51,35.6,45.2,40.7,1.32,0.17,0.40,0.80
114,Siriki Dembélé,FWMF,1.2,0.15,0.25,78.7,3.33,100.0,44.4,0.0,3.33,1.67,0.83,1.67
115,Leander Dendoncker,MF,3.7,0.01,0.12,87.0,1.35,0.0,33.3,58.3,4.59,2.16,1.62,0.00
116,Leander Dendoncker,MF,2.4,0.27,0.02,86.9,0.83,66.7,50.0,66.7,5.42,0.00,1.67,0.42
117,Emmanuel Dennis,FW,4.1,0.17,0.08,70.7,0.98,22.2,23.8,66.7,1.22,0.49,0.49,0.24
118,Halil Dervişoğlu,MF,0.1,0.31,0.00,,0.00,0.0,,,0.00,0.00,0.00,0.00
119,Kiernan Dewsbury-Hall,MF,15.4,0.10,0.15,75.2,1.69,26.7,42.1,40.9,2.47,0.45,0.71,0.19
120,Ibrahima Diallo,MF,7.4,0.03,0.00,77.8,0.14,0.0,54.5,77.8,2.84,1.22,0.81,0.00
121,Rúben Dias,DF,9.7,0.06,0.02,92.2,0.21,20.0,100.0,100.0,1.86,0.31,2.58,0.00
122,Luis Díaz,FW,6.8,0.26,0.15,79.3,0.88,43.8,48.3,50.0,1.76,0.29,0.00,0.15
123,Eric Dier,DF,19.3,0.04,0.04,86.2,0.31,40.0,,60.0,2.28,0.62,3.52,0.16
124,Lucas Digne,DF,11.8,0.02,0.10,75.7,1.02,50.0,0.0,72.7,2.97,1.27,2.63,0.85
125,Issa Diop,DF,10.7,0.03,0.00,86.7,0.09,66.7,100.0,66.7,2.90,1.03,2.62,0.00
126,Moussa Djenepo,DFFW,6.4,0.03,0.04,73.7,0.94,66.7,43.3,45.0,4.38,1.72,0.94,0.47
127,Ben Doak,FW,0.3,0.00,0.00,71.4,0.00,,0.0,100.0,10.0,3.33,0.00,0.00
128,Matt Doherty,DFMF,7.4,0.10,0.04,80.6,0.81,20.0,41.7,88.9,3.24,1.62,1.89,0.41
129,Gabriel Dos Santos,DF,19.0,0.15,0.01,89.0,0.05,27.8,0.0,71.4,2.26,0.74,3.63,0.00
130,Abdoulaye Doucouré,MF,2.5,0.07,0.00,80.8,0.00,33.3,100.0,33.3,2.40,0.40,1.20,0.00
131,Cheick Doucouré,MF,16.4,0.04,0.08,83.9,1.04,23.8,66.7,60.6,5.24,1.65,1.22,0.00
132,Flynn Downes,MF,3.2,0.08,0.02,81.4,0.31,0.0,,33.3,2.19,0.00,0.63,0.00
133,Cody Drameh,DF,0.8,0.00,0.00,78.9,0.00,,100.0,66.7,7.50,0.00,1.25,0.00
134,Shane Duffy,FWDF,0.1,0.00,0.00,50.0,0.00,,,,0.00,0.00,0.00,0.00
135,Lewis Dunk,DF,19.0,0.04,0.00,89.5,0.05,11.1,100.0,33.3,1.74,0.53,2.79,0.00
136,Malcolm Ebiowei,MFFW,0.4,0.00,0.00,50.0,0.00,,40.0,0.0,2.50,2.50,0.00,0.00
137,Ederson,GK,20.0,0.00,0.01,87.3,0.05,,,50.0,0.05,0.05,0.35,0.00
138,Odsonne Édouard,FWMF,10.9,0.24,0.08,71.5,1.10,43.5,27.3,62.5,2.11,0.55,1.19,0.00
139,Samuel Edozie,FWMF,5.2,0.15,0.07,68.3,1.15,42.9,31.3,50.0,3.46,0.96,0.58,0.19
140,Anthony Elanga,FW,4.4,0.13,0.18,73.8,1.14,37.5,25.0,50.0,0.91,0.00,0.91,0.00
141,Harvey Elliott,MFFW,12.4,0.09,0.19,79.9,1.29,30.0,42.4,21.1,1.53,0.32,0.48,0.40
142,Mohamed Elneny,MF,1.3,0.00,0.00,95.0,0.00,,,100.0,0.77,0.77,0.00,0.00
143,Mohamed Elyounoussi,MFFW,15.1,0.17,0.13,66.5,0.93,25.0,52.4,45.8,2.65,0.79,1.52,0.40
144,Emerson,DF,12.1,0.09,0.02,78.8,0.41,33.3,50.0,65.2,3.47,1.82,3.39,0.17
145,Christian Eriksen,MF,16.5,0.16,0.18,78.9,1.52,34.8,25.0,27.8,1.21,0.42,1.09,0.12
146,Pervis Estupiñán,DF,12.0,0.01,0.17,80.2,1.50,0.0,8.3,75.0,3.50,1.00,1.50,0.58
147,Jonny Evans,DF,9.0,0.02,0.00,89.3,0.11,100.0,,66.7,2.89,1.11,3.56,0.00
148,Eberechi Eze,MFFW,16.8,0.14,0.16,78.9,2.02,27.8,51.6,46.2,1.85,0.48,0.18,0.06
149,Łukasz Fabiański,GK,18.8,0.00,0.00,68.6,0.00,,,,0.00,0.00,0.16,0.00
150,Fabinho,MF,13.9,0.02,0.04,88.1,0.43,37.5,33.3,41.4,3.74,0.86,1.44,0.00
151,Wout Faes,DF,14.0,0.02,0.02,86.3,0.21,25.0,50.0,75.0,3.21,1.00,3.43,0.00
152,João Félix,FW,0.6,1.29,0.29,66.7,1.67,66.7,50.0,,0.00,0.00,0.00,0.00
153,Evan Ferguson,FW,2.2,0.53,0.12,77.8,1.36,62.5,33.3,0.0,0.45,0.00,0.00,0.00
154,Bruno Fernandes,MFFW,19.0,0.17,0.35,74.8,2.63,33.3,32.1,48.6,3.00,0.84,1.21,0.11
155,Mateo Fernández,MF,0.0,0.00,0.00,,0,,0.0,,0,0,1,0
156,Roberto Firmino,FWMF,10.3,0.41,0.17,77.9,1.65,60.6,46.7,11.1,1.84,0.10,0.19,0.00
157,Junior Firpo,DF,1.3,0.00,0.09,68.1,1.54,,0.0,33.3,4.62,0.77,2.31,0.00
158,Phil Foden,FWDF,11.6,0.32,0.17,80.2,1.90,50.0,37.9,77.8,1.29,0.60,0.43,0.69
159,Wesley Fofana,DF,2.0,0.06,0.00,83.6,0.00,50.0,33.3,33.3,6.50,0.50,2.50,0.00
160,Wesley Fofana,DF,2.0,0.01,0.00,90.5,0.00,0.0,0.0,50.0,4.00,0.00,1.50,0.00
161,Pablo Fornals,FWMF,10.5,0.08,0.11,72.0,1.05,29.4,50.0,22.7,2.48,0.48,0.76,0.19
162,Adam Forshaw,MF,1.8,0.00,0.26,83.1,1.11,,80.0,16.7,1.11,0.00,0.56,0.00
163,Fraser Forster,GK,1.0,0.00,0.00,81.8,0.00,,,,0.00,0.00,0.00,0.00
164,Tyrese Francois,FW,0.0,0.00,0.00,100.0,0,,,,0,0,1,0
165,Ryan Fraser,FW,3.5,0.09,0.11,69.7,1.43,16.7,50.0,40.0,0.57,0.00,0.86,0.29
166,Fred,MF,6.5,0.19,0.16,81.4,2.15,26.7,40.0,35.7,4.31,1.38,1.08,0.15
167,Ryan Fredericks,DF,5.0,0.00,0.02,68.3,0.20,,16.7,0.0,0.20,0.20,4.00,0.20
168,Remo Freuler,MF,14.2,0.02,0.04,80.6,0.56,16.7,44.4,54.2,3.45,1.06,1.90,0.21
169,Cody Gakpo,FW,1.9,0.51,0.00,69.0,0.00,12.5,50.0,100.0,0.53,0.00,0.00,0.00
170,Conor Gallagher,MFFW,8.2,0.11,0.22,78.5,1.83,45.5,36.4,41.2,4.39,1.22,1.46,0.61
171,Idrissa Gana Gueye,MF,12.6,0.00,0.06,85.0,0.40,100.0,36.4,47.4,4.92,1.35,1.35,0.00
172,Alejandro Garnacho,FW,2.7,0.34,0.37,82.1,0.74,55.6,7.1,33.3,2.59,0.00,0.00,0.00
173,James Garner,MF,1.6,0.03,0.00,74.7,0.00,50.0,0.0,25.0,6.25,0.63,0.63,0.00
174,David de Gea,GK,20.0,0.00,0.01,69.8,0.05,,,,0.00,0.00,0.40,0.00
175,Joe Gelhardt,FW,2.4,0.36,0.20,64.2,0.83,20.0,11.1,60.0,2.50,0.42,1.67,0.00
176,Saman Ghoddos,MFFW,1.0,0.05,0.23,72.9,1.00,100.0,0.0,50.0,4.00,0.00,2.00,0.00
177,Morgan Gibbs-White,FWMF,2.0,0.36,0.04,78.9,0.50,33.3,25.0,66.7,2.00,1.50,1.50,0.00
178,Morgan Gibbs-White,FWMF,15.3,0.20,0.29,61.4,2.29,28.1,48.6,54.5,1.37,0.26,0.52,0.26
